time,open,high,low,close,tick_count
2025-05-14 00:00:00,32.950,32.950,32.822,32.887,66
2025-05-14 00:15:00,32.887,32.892,32.803,32.830,73
2025-05-14 00:30:00,32.830,32.849,32.819,32.831,71
2025-05-14 00:45:00,32.828,32.832,32.767,32.799,76
2025-05-14 01:00:00,32.815,32.873,32.785,32.848,61
2025-05-14 01:15:00,32.848,32.868,32.817,32.867,68
2025-05-14 01:30:00,32.870,32.870,32.760,32.788,68
2025-05-14 01:45:00,32.780,32.817,32.769,32.769,54
2025-05-14 02:00:00,32.764,32.780,32.739,32.750,67
2025-05-14 02:15:00,32.745,32.753,32.716,32.716,75
2025-05-14 02:30:00,32.699,32.699,32.624,32.626,59
2025-05-14 02:45:00,32.626,32.669,32.621,32.642,58
2025-05-14 03:00:00,32.654,32.666,32.638,32.656,42
2025-05-14 03:15:00,32.630,32.660,32.614,32.620,29
2025-05-14 03:30:00,32.643,32.665,32.615,32.645,59
2025-05-14 03:45:00,32.645,32.648,32.612,32.638,37
2025-05-14 04:00:00,32.638,32.638,32.584,32.613,54
2025-05-14 04:15:00,32.589,32.630,32.589,32.630,51
2025-05-14 04:30:00,32.634,32.645,32.623,32.626,33
2025-05-14 04:45:00,32.608,32.633,32.590,32.600,34
2025-05-14 05:00:00,32.596,32.666,32.586,32.650,80
2025-05-14 05:15:00,32.650,32.656,32.596,32.607,74
2025-05-14 05:30:00,32.591,32.694,32.590,32.694,63
2025-05-14 05:45:00,32.691,32.734,32.675,32.733,66
2025-05-14 06:00:00,32.733,32.749,32.714,32.721,60
2025-05-14 06:15:00,32.725,32.778,32.725,32.755,45
2025-05-14 06:30:00,32.770,32.790,32.740,32.790,46
2025-05-14 06:45:00,32.782,32.803,32.733,32.733,78
2025-05-14 07:00:00,32.733,32.823,32.733,32.796,88
2025-05-14 07:15:00,32.782,32.794,32.727,32.794,79
2025-05-14 07:30:00,32.798,32.857,32.776,32.786,94
2025-05-14 07:45:00,32.795,32.924,32.789,32.901,100
2025-05-14 08:00:00,32.918,32.935,32.853,32.866,68
2025-05-14 08:15:00,32.851,32.885,32.823,32.852,66
2025-05-14 08:30:00,32.853,32.863,32.818,32.845,76
2025-05-14 08:45:00,32.851,32.886,32.834,32.834,90
2025-05-14 09:00:00,32.817,32.855,32.770,32.804,77
2025-05-14 09:15:00,32.815,32.828,32.791,32.814,90
2025-05-14 09:30:00,32.809,32.823,32.762,32.812,106
2025-05-14 09:45:00,32.810,32.819,32.767,32.790,107
2025-05-14 10:00:00,32.779,32.809,32.772,32.772,103
2025-05-14 10:15:00,32.785,32.811,32.772,32.801,103
2025-05-14 10:30:00,32.801,32.876,32.801,32.837,100
2025-05-14 10:45:00,32.833,32.905,32.816,32.888,116
2025-05-14 11:00:00,32.862,32.925,32.862,32.920,100
2025-05-14 11:15:00,32.920,32.926,32.870,32.893,107
2025-05-14 11:30:00,32.893,32.934,32.888,32.915,110
2025-05-14 11:45:00,32.924,32.924,32.854,32.881,86
2025-05-14 12:00:00,32.875,32.925,32.779,32.779,59
2025-05-14 12:15:00,32.576,32.576,32.422,32.422,12
2025-05-14 12:30:00,32.417,32.428,32.255,32.275,14
2025-05-14 12:45:00,32.263,32.353,32.233,32.233,18
2025-05-14 13:00:00,32.203,32.203,32.193,32.193,2
2025-05-14 13:15:00,32.392,32.392,32.315,32.315,5
2025-05-14 13:30:00,32.412,32.412,32.296,32.296,6
2025-05-14 13:45:00,32.307,32.403,32.307,32.351,7
2025-05-14 14:00:00,32.358,32.384,32.294,32.342,40
2025-05-14 14:15:00,32.352,32.352,32.255,32.318,38
2025-05-14 14:30:00,32.312,32.328,32.221,32.272,54
2025-05-14 14:45:00,32.272,32.291,32.197,32.203,46
2025-05-14 15:00:00,32.214,32.258,32.199,32.234,37
2025-05-14 15:15:00,32.230,32.316,32.217,32.267,70
2025-05-14 15:30:00,32.273,32.306,32.252,32.288,68
2025-05-14 15:45:00,32.288,32.300,32.255,32.300,68
2025-05-14 16:00:00,32.289,32.289,32.237,32.262,74
2025-05-14 16:15:00,32.235,32.278,32.225,32.244,91
2025-05-14 16:30:00,32.244,32.248,32.158,32.210,70
2025-05-14 16:45:00,32.231,32.310,32.218,32.306,66
2025-05-14 17:00:00,32.291,32.313,32.260,32.270,55
2025-05-14 17:15:00,32.270,32.295,32.254,32.295,65
2025-05-14 17:30:00,32.297,32.301,32.266,32.273,52
2025-05-14 17:45:00,32.261,32.270,32.258,32.260,29
2025-05-14 18:00:00,32.225,32.225,32.181,32.181,39
2025-05-14 18:15:00,32.172,32.188,32.172,32.178,52
2025-05-14 18:30:00,32.200,32.200,32.178,32.182,64
2025-05-14 18:45:00,32.175,32.175,32.138,32.151,62
2025-05-14 19:00:00,32.119,32.130,32.092,32.102,81
2025-05-14 19:15:00,32.096,32.130,32.090,32.105,67
2025-05-14 19:30:00,32.103,32.163,32.097,32.133,82
2025-05-14 19:45:00,32.133,32.160,32.112,32.160,69
2025-05-14 20:00:00,32.160,32.182,32.158,32.163,33
2025-05-14 20:15:00,32.173,32.188,32.173,32.188,31
2025-05-14 20:30:00,32.202,32.240,32.202,32.218,67
2025-05-14 20:45:00,32.218,32.239,32.215,32.218,45
2025-05-14 22:00:00,32.219,32.249,32.206,32.219,64
2025-05-14 22:15:00,32.219,32.239,32.208,32.221,51
2025-05-14 22:30:00,32.221,32.224,32.203,32.203,40
2025-05-14 22:45:00,32.205,32.231,32.194,32.222,47
2025-05-14 23:00:00,32.206,32.327,32.100,32.213,30
2025-05-14 23:15:00,32.218,32.218,32.184,32.184,41
2025-05-14 23:30:00,32.184,32.215,32.184,32.215,37
